time,avg_vv,putility,pvcurt,losses
2018-08-15 15:00:00,0.0,-10.580802628170858,18.848028547495485,0.2639303852245998
2018-08-15 15:00:06,0.0,-10.546314751703344,18.834875254564917,0.26243883031157744
2018-08-15 15:00:12,0.0,-10.511821990742893,18.821721961634346,0.26095215989149084
2018-08-15 15:00:18,0.0,-10.47732434104513,18.80856866870377,0.25947037820872376
2018-08-15 15:00:24,0.0,-10.442821798358178,18.79541537577319,0.2579934895151407
2018-08-15 15:00:30,0.0,-10.408314358420391,18.78226208284262,0.2565214980723892
2018-08-15 15:00:36,0.0,-10.373802016961939,18.769108789912043,0.2550544081503075
2018-08-15 15:00:42,0.0,-10.339284769704134,18.755955496981464,0.25359222402757603
2018-08-15 15:00:48,0.0,-10.30476261235988,18.742802204050896,0.2521349499912969
2018-08-15 15:00:54,0.0,-10.270235540632907,18.729648911120318,0.2506825903377348
2018-08-15 15:01:00,0.0,-10.235703550217861,18.716495618189747,0.24923514937224567
2018-08-15 15:01:06,0.0,-10.215179006924663,18.717371425018836,0.24839481337806263
2018-08-15 15:01:12,0.0,-10.194652634992035,18.718247231847933,0.2475563060233104
2018-08-15 15:01:18,0.0,-10.17412443332283,18.719123038677026,0.24671962840513442
2018-08-15 15:01:24,0.0,-10.153594400818001,18.71999884550612,0.2458847816225828
2018-08-15 15:01:30,0.0,-10.133062536377556,18.720874652335205,0.2450517667756466
2018-08-15 15:01:36,0.0,-10.11252883889967,18.721750459164294,0.2442205849661514
2018-08-15 15:01:42,0.0,-10.091993307281676,18.722626265993387,0.24339123729676387
2018-08-15 15:01:48,0.0,-10.071455940418483,18.723502072822477,0.24256372487257785
2018-08-15 15:01:54,0.0,-10.050916737204984,18.724377879651577,0.24173804879869737
2018-08-15 15:02:00,0.0,-10.030375696533579,18.725253686480666,0.24091421018272124
2018-08-15 15:02:06,0.0,-10.025534750632405,18.740506771287432,0.24075259904069782
2018-08-15 15:02:12,0.0,-10.020693602239627,18.755759856094198,0.2405911903902725
2018-08-15 15:02:18,0.0,-10.015852251297545,18.771012940900967,0.24042998428915416
2018-08-15 15:02:24,0.0,-10.011010697749523,18.78626602570774,0.2402689807939785
2018-08-15 15:02:30,0.0,-10.006168941538126,18.8015191105145,0.24010817996217348
2018-08-15 15:02:36,0.0,-10.001326982606354,18.816772195321278,0.23994758185074627
2018-08-15 15:02:42,0.0,-9.996484820896836,18.832025280128036,0.23978718651706216
2018-08-15 15:02:48,0.0,-9.991642456352357,18.84727836493481,0.23962699401834042
2018-08-15 15:02:54,0.0,-9.986799888915787,18.86253144974158,0.23946700441171295
2018-08-15 15:03:00,0.0,-9.98195711852994,18.87778453454835,0.23930721775436076
2018-08-15 15:03:06,0.0,-9.99142151233636,18.90411214251377,0.2397432299097563
2018-08-15 15:03:12,0.0,-10.00088548683619,18.93043975047919,0.24017966137174693
2018-08-15 15:03:18,0.0,-10.01034904204113,18.95676735844461,0.24061651212862212
2018-08-15 15:03:24,0.0,-10.019812177963626,18.98309496641003,0.24105378216794524
2018-08-15 15:03:30,0.0,-10.029274894615012,19.00942257437545,0.2414914714783746
2018-08-15 15:03:36,0.0,-10.038737192007304,19.03575018234087,0.24192958004790027
2018-08-15 15:03:42,0.0,-10.048199070152481,19.062077790306294,0.2423681078645417
2018-08-15 15:03:48,0.0,-10.057660529062508,19.088405398271707,0.24280705491633212
2018-08-15 15:03:54,0.0,-10.067121568748888,19.11473300623713,0.24324642119176718
2018-08-15 15:04:00,0.0,-10.076582189223265,19.14106061420255,0.24368620667921176
2018-08-15 15:04:06,0.0,-10.096094897331861,19.17229961954737,0.2445455327447456
2018-08-15 15:04:12,0.0,-10.115606048571667,19.20353862489219,0.24540641567907037
2018-08-15 15:04:18,0.0,-10.135115643382989,19.23477763023701,0.2462688550418843
2018-08-15 15:04:24,0.0,-10.154623682205136,19.26601663558183,0.2471328503938663
2018-08-15 15:04:30,0.0,-10.17413016547752,19.297255640926647,0.24799840129561634
2018-08-15 15:04:36,0.0,-10.193635093638374,19.32849464627147,0.24886550730889395
2018-08-15 15:04:42,0.0,-10.213138467125741,19.35973365161628,0.24973416799565845
2018-08-15 15:04:48,0.0,-10.232640286377023,19.39097265696111,0.2506043829185089
2018-08-15 15:04:54,0.0,-10.252140551829005,19.422211662305926,0.2514761516406597
2018-08-15 15:05:00,0.0,-10.271639263917628,19.45345066765075,0.25234947372617006
2018-08-15 15:05:06,0.0,-10.29366384671479,19.481983462344623,0.2533280786012968
2018-08-15 15:05:12,0.0,-10.315686450165105,19.510516257038475,0.2543086628232712
2018-08-15 15:05:18,0.0,-10.337707075030199,19.53904905173234,0.25529122563047135
2018-08-15 15:05:24,0.0,-10.359725722070293,19.567581846426194,0.25627576626266746
2018-08-15 15:05:30,0.0,-10.381742392044972,19.596114641120053,0.2572622839602763
2018-08-15 15:05:36,0.0,-10.403757085712527,19.624647435813916,0.25825077796501245
2018-08-15 15:05:42,0.0,-10.425769803830157,19.65318023050779,0.2592412475196717
2018-08-15 15:05:48,0.0,-10.447780547154407,19.681713025201645,0.26023369186771084
2018-08-15 15:05:54,0.0,-10.469789316440384,19.710245819895505,0.2612281102540261
2018-08-15 15:06:00,0.0,-10.491796112442037,19.73877861458937,0.2622245019246635
2018-08-15 15:06:06,0.0,-10.511706024121379,19.760412325785623,0.2631257139305967
2018-08-15 15:06:12,0.0,-10.53161429606192,19.78204603698188,0.2640285656753329
2018-08-15 15:06:18,0.0,-10.551520928908278,19.80367974817814,0.26493305651424603
